Name,Subtitle,Acceleration,TopSpeed,Range,Efficiency,FastChargeSpeed,Drive,NumberofSeats,PriceinGermany,PriceinUK
Lucid Air Dream Edition P,118 kWh useable battery          Available since January 2022,2.7 sec,270,645,183,820,All Wheel Drive,5,"218,000",N/A
Porsche Taycan Turbo S,83.7 kWh useable battery          Available since January 2020,2.8 sec,260,400,209,980,All Wheel Drive,4,"189,668","142,400"
Audi e-tron GT RS,85 kWh useable battery          Available since March 2021,3.3 sec,250,405,210,1000,All Wheel Drive,4,"146,050","115,000"
Renault Zoe ZE50 R110,52 kWh useable battery          Available since November 2019,11.4 sec,135,315,165,230,Front Wheel Drive,5,"36,840",N/A
Audi Q4 e-tron 35,52 kWh useable battery          Available since June 2021,9.0 sec,160,285,182,360,Rear Wheel Drive,5,N/A,N/A
Tesla Model Y Performance,75 kWh useable battery          Available since March 2022,3.7 sec,250,415,181,640,All Wheel Drive,5,"63,667","59,990"
Porsche Taycan 4 Cross Turismo,83.7 kWh useable battery          Available since July 2021,5.1 sec,220,425,197,1050,All Wheel Drive,4,"98,514","84,500"
Renault Zoe ZE50 R135,52 kWh useable battery          Available since November 2019,9.5 sec,140,310,168,230,Front Wheel Drive,5,"37,840","29,995"
Porsche Taycan Turbo,83.7 kWh useable battery          Available since January 2020,3.2 sec,260,415,202,1020,All Wheel Drive,4,"156,348","119,900"
Smart EQ fortwo coupe,16.7 kWh useable battery          Available since January 2020,11.6 sec,130,100,167,-,Rear Wheel Drive,2,"21,940",N/A
Smart EQ fortwo cabrio,16.7 kWh useable battery          Available since January 2020,11.9 sec,130,95,176,-,Rear Wheel Drive,2,"25,200",N/A
Honda e Advance,28.5 kWh useable battery          Available since August 2020,8.3 sec,145,170,168,180,Rear Wheel Drive,4,"39,900","36,920"
Porsche Taycan 4S,71 kWh useable battery          Available since May 2020,4.0 sec,250,395,180,970,All Wheel Drive,4,"108,867","86,500"
Porsche Taycan 4S Plus,83.7 kWh useable battery          Available since April 2020,4.0 sec,250,460,182,1130,All Wheel Drive,4,"114,389","90,406"
Mercedes EQV 300 Long,90 kWh useable battery          Available since September 2020,12.1 sec,160,305,295,310,Front Wheel Drive,7,"71,626","83,530"
